sample_accession	hq_filter	sylph_species	country	collection_date
SAMEA4947919	PASS	Neisseria meningitidis		
SAMEA4948517	PASS	Neisseria meningitidis		
SAMEA7838370	PASS	Neisseria meningitidis		
SAMEA7838633	PASS	Neisseria meningitidis		
SAMEA8114340	PASS	Neisseria meningitidis		
SAMEA8114379	PASS	Neisseria meningitidis		
SAMEA114392376	PASS	Neisseria meningitidis	Portugal	2018
SAMEA4948693	PASS	Neisseria meningitidis		
SAMEA4948738	PASS	Neisseria meningitidis		
SAMEA678180	PASS	Neisseria meningitidis		
SAMEA8114322	PASS	Neisseria meningitidis		
SAMEA8114363	PASS	Neisseria meningitidis		
SAMN14469506	PASS	Neisseria meningitidis	USA	2016
SAMN17286642	PASS	Neisseria meningitidis	USA: Maryland	2006
SAMEA1523174	PASS	Neisseria meningitidis	United Kingdom	2010
SAMEA4948174	PASS	Neisseria meningitidis		
SAMEA5757474	PASS	Neisseria meningitidis		
SAMN14500871	PASS	Neisseria meningitidis	USA	2015
SAMEA2271320	PASS	Neisseria meningitidis		
SAMEA3503429	SYLPH_RESULTS_FAIL	unknown		
SAMEA3507259	PASS	Neisseria meningitidis		
SAMEA8114089	PASS	Neisseria meningitidis		
SAMEA8114348	PASS	Neisseria meningitidis		
SAMEA8114433	PASS	Neisseria meningitidis		
SAMN13450869	PASS	Neisseria meningitidis	New Zealand	2016
SAMN14501084	PASS	Neisseria meningitidis	USA	2015
SAMEA3507098	PASS	Neisseria meningitidis		
SAMEA37675918	PASS	Neisseria meningitidis		
SAMEA4948370	PASS	Neisseria meningitidis		
SAMN44030924	PASS	Neisseria meningitidis	New Zealand	2002
SAMEA2547825	PASS	Neisseria meningitidis		
SAMEA3507004	PASS	Neisseria meningitidis		
SAMN14469799	SYLPH_RESULTS_FAIL	unknown	USA	2015
SAMEA2674230	PASS	Neisseria meningitidis	Netherlands	2006/2012
SAMEA2674278	PASS	Neisseria meningitidis	Netherlands	2006/2012
SAMEA2674469	PASS	Neisseria meningitidis	Netherlands	2006/2012
SAMEA8114432	PASS	Neisseria meningitidis		
SAMN13450978	PASS	Neisseria meningitidis	New Zealand	2017
SAMN29406936	PASS	Neisseria meningitidis	USA	2000
SAMN35339252	PASS	Neisseria meningitidis	New Zealand	1991
SAMEA113563093	PASS	Neisseria meningitidis		
SAMEA3432121	PASS	Neisseria meningitidis		
SAMEA4948852	PASS	Neisseria meningitidis		
SAMN14470039	PASS	Neisseria meningitidis	USA	2015
SAMN42000906	PASS	Neisseria meningitidis	Belgium	2019-02-24
SAMEA4948281	PASS	Neisseria meningitidis		
SAMEA7838581	PASS	Neisseria meningitidis		
SAMEA2074524	PASS	Neisseria meningitidis		
SAMEA4948373	PASS	Neisseria meningitidis		
SAMN25819696	PASS	Neisseria meningitidis	New Zealand	2020
SAMN26138092	PASS	Neisseria meningitidis	Taiwan	2006-11-30
SAMN29407051	PASS	Neisseria meningitidis	USA	2002
SAMEA2271675	PASS	Neisseria meningitidis		
SAMEA2673993	CHECKM2_MAX_CONTAM,SYLPH_RESULTS_FAIL	unknown		
SAMEA4948207	PASS	Neisseria meningitidis		
SAMEA4948579	PASS	Neisseria meningitidis		
SAMEA5749018	PASS	Neisseria meningitidis		
SAMEA8114132	PASS	Neisseria meningitidis		
SAMEA4948128	PASS	Neisseria meningitidis		
SAMEA37702918	PASS	Neisseria meningitidis		
SAMEA4948603	PASS	Neisseria meningitidis		
SAMEA7741148	PASS	Neisseria meningitidis		
SAMEA7838586	PASS	Neisseria meningitidis		
SAMEA7838655	PASS	Neisseria meningitidis		
SAMN08874997	SYLPH_RESULTS_FAIL	unknown	China	1979
SAMN26138015	PASS	Neisseria meningitidis	Taiwan	2003-09-07
SAMEA1677407	SYLPH_RESULTS_FAIL	unknown		
SAMEA4948052	PASS	Neisseria meningitidis		
SAMEA7741011	PASS	Neisseria meningitidis		
SAMEA7838920	PASS	Neisseria meningitidis		
SAMN44030963	PASS	Neisseria meningitidis	New Zealand	2006
SAMEA1523232	PASS	Neisseria meningitidis	United Kingdom	2011
SAMEA2674142	PASS	Neisseria meningitidis	Netherlands	2006/2012
SAMEA678369	PASS	Neisseria meningitidis		
SAMEA7839009	PASS	Neisseria meningitidis		
SAMEA2673924	PASS	Neisseria meningitidis	Netherlands	2006/2012
SAMEA4948116	PASS	Neisseria meningitidis		
SAMEA8114305	PASS	Neisseria meningitidis		
SAMEA111347583	PASS	Neisseria meningitidis	Norway	2000-10-21
SAMEA8114260	PASS	Neisseria meningitidis		
SAMN29757006	PASS	Neisseria meningitidis	USA	2015
SAMN42000815	SYLPH_RESULTS_FAIL	unknown	Belgium	2018-04-13
SAMEA13187364	PASS	Neisseria meningitidis		
SAMEA2674294	PASS	Neisseria meningitidis	Netherlands	2006/2012
SAMN08875005	SYLPH_RESULTS_FAIL	unknown	New Zealand	1991
SAMN41083592	SYLPH_RESULTS_FAIL	unknown	New Zealand	2023
SAMEA104105479	PASS	Neisseria meningitidis		
SAMEA2074118	PASS	Neisseria meningitidis		
SAMEA2674459	PASS	Neisseria meningitidis	Netherlands	2006/2012
SAMEA4947922	PASS	Neisseria meningitidis		
SAMEA7741098	PASS	Neisseria meningitidis		
SAMEA3503104	SYLPH_RESULTS_FAIL	unknown		
SAMEA4719209	PASS	Neisseria meningitidis		
SAMN13450759	PASS	Neisseria meningitidis	New Zealand	2013
SAMEA2271337	PASS	Neisseria meningitidis		
SAMEA6574445	PASS	Neisseria meningitidis		
SAMEA4948347	PASS	Neisseria meningitidis		
SAMEA4948698	PASS	Neisseria meningitidis		
SAMEA7741100	PASS	Neisseria meningitidis		
SAMEA7838965	PASS	Neisseria meningitidis		
SAMEA1523181	PASS	Neisseria meningitidis	United Kingdom	2011
SAMEA4532259	PASS	Neisseria meningitidis		
SAMEA5661159	PASS	Neisseria meningitidis		
SAMEA5748003	PASS	Neisseria meningitidis		
SAMEA7839000	PASS	Neisseria meningitidis		
SAMN13450900	PASS	Neisseria meningitidis	New Zealand	2016
SAMEA110070782	PASS	Neisseria meningitidis		
SAMN14469300	PASS	Neisseria meningitidis	USA	2016
SAMN22254726	SYLPH_RESULTS_FAIL	unknown	Austria	missing
SAMEA111425906	PASS	Neisseria meningitidis		
SAMEA4948598	PASS	Neisseria meningitidis		
SAMEA7838516	PASS	Neisseria meningitidis		
SAMEA2673783	PASS	Neisseria meningitidis	Netherlands	2006/2012
SAMEA4948425	PASS	Neisseria meningitidis		
SAMEA6227007	PASS	Neisseria meningitidis		
SAMEA8497892	CHECKM2_MAX_CONTAM,SYLPH_RESULTS_FAIL	unknown		
SAMN13450960	PASS	Neisseria meningitidis	New Zealand	2017
SAMN25819719	PASS	Neisseria meningitidis	New Zealand	2020
SAMN35339286	PASS	Neisseria meningitidis	New Zealand	1992
SAMN47117351	SYLPH_RESULTS_FAIL	unknown	New Zealand	2024
SAMEA2820805	PASS	Neisseria meningitidis		
SAMEA7838368	PASS	Neisseria meningitidis		
SAMEA8497839	PASS	Neisseria meningitidis		
SAMN13450817	PASS	Neisseria meningitidis	New Zealand	2015
SAMN42000758	SYLPH_RESULTS_FAIL	unknown	Belgium	2017-10-17
SAMN44030940	PASS	Neisseria meningitidis	New Zealand	2003
SAMEA2047672	PASS	Neisseria meningitidis	United Kingdom	2012
SAMEA3946979	PASS	Neisseria meningitidis		
SAMEA7838982	PASS	Neisseria meningitidis		
SAMEA4948487	PASS	Neisseria meningitidis		
SAMEA8114059	PASS	Neisseria meningitidis		
SAMEA3109133	PASS	Neisseria meningitidis		
SAMEA3503658	SYLPH_RESULTS_FAIL	unknown		
SAMEA4495608	PASS	Neisseria meningitidis		
SAMEA678056	PASS	Neisseria meningitidis		
SAMN09011473	PASS	Neisseria meningitidis	USA	2011
SAMEA7838681	PASS	Neisseria meningitidis		
SAMEA111347556	PASS	Neisseria meningitidis	Norway	2000-05-13
SAMEA111347750	PASS	Neisseria meningitidis	Norway	2005-02-01
SAMEA3689790	PASS	Neisseria meningitidis		
SAMEA6227710	PASS	Neisseria meningitidis		
SAMEA8114239	PASS	Neisseria meningitidis		
SAMEA1523054	PASS	Neisseria meningitidis	United Kingdom	2011
SAMEA2820830	PASS	Neisseria meningitidis		
SAMEA4361385	PASS	Neisseria meningitidis		
SAMEA4948197	PASS	Neisseria meningitidis		
SAMEA4948470	PASS	Neisseria meningitidis		
SAMEA4948725	PASS	Neisseria meningitidis		
SAMEA112237038	PASS	Neisseria meningitidis	United Kingdom	2022
SAMEA2271559	PASS	Neisseria meningitidis		
SAMEA4948879	PASS	Neisseria meningitidis		
SAMEA7838388	PASS	Neisseria meningitidis		
SAMEA8114275	PASS	Neisseria meningitidis		
SAMEA4063392	PASS	Neisseria meningitidis		
SAMN35339267	PASS	Neisseria meningitidis	New Zealand	1992
SAMEA2820778	PASS	Neisseria meningitidis		
SAMEA4947989	PASS	Neisseria meningitidis		
SAMEA6227006	PASS	Neisseria meningitidis		
SAMEA7838948	PASS	Neisseria meningitidis		
SAMEA115428220	PASS	Neisseria meningitidis	United Kingdom	2019
SAMEA2674204	PASS	Neisseria meningitidis	Netherlands	2006/2012
SAMEA4948361	PASS	Neisseria meningitidis		
SAMEA4948403	PASS	Neisseria meningitidis		
SAMEA5747735	PASS	Neisseria meningitidis		
SAMEA7741074	PASS	Neisseria meningitidis		
SAMEA29782168	PASS	Neisseria meningitidis		
SAMEA8114370	PASS	Neisseria meningitidis		
SAMN44030987	PASS	Neisseria meningitidis	New Zealand	2009
SAMEA111509845	PASS	Neisseria meningitidis		
SAMEA115807327	PASS	Neisseria meningitidis	Ireland	2023
SAMEA4948354	PASS	Neisseria meningitidis		
SAMEA7838347	PASS	Neisseria meningitidis		
SAMEA7838936	PASS	Neisseria meningitidis		
SAMEA1522840	PASS	Neisseria meningitidis	United Kingdom	2011
SAMEA2673987	PASS	Neisseria meningitidis	Netherlands	2006/2012
SAMEA4504328	PASS	Neisseria meningitidis		
SAMEA4948181	PASS	Neisseria meningitidis		
SAMEA4948393	PASS	Neisseria meningitidis		
SAMEA5757472	PASS	Neisseria meningitidis		
SAMEA7838394	PASS	Neisseria meningitidis		
SAMEA13187559	PASS	Neisseria meningitidis		
SAMEA1523157	PASS	Neisseria meningitidis	United Kingdom	2011
SAMEA3673219	PASS	Neisseria meningitidis		
SAMEA4948423	PASS	Neisseria meningitidis		
SAMEA4948761	PASS	Neisseria meningitidis		
SAMEA7838320	PASS	Neisseria meningitidis		
SAMEA103982758	PASS	Neisseria meningitidis		
SAMEA1523124	PASS	Neisseria meningitidis	United Kingdom	2011
SAMEA1706877	PASS	Neisseria meningitidis		
SAMEA7838457	PASS	Neisseria meningitidis		
SAMEA7838659	PASS	Neisseria meningitidis		
SAMEA7838812	PASS	Neisseria meningitidis		
SAMN13450858	PASS	Neisseria meningitidis	New Zealand	2016
SAMN14469904	PASS	Neisseria meningitidis	USA	2015
SAMN26138108	PASS	Neisseria meningitidis	Taiwan	2007-08-14
SAMEA111347445	PASS	Neisseria meningitidis	Norway	2012-03-13
SAMEA4948103	PASS	Neisseria meningitidis		
SAMN29407147	PASS	Neisseria meningitidis	USA	2004
SAMEA112237030	PASS	Neisseria meningitidis	United Kingdom	2022
SAMEA4947956	PASS	Neisseria meningitidis		
SAMN09011424	PASS	Neisseria meningitidis	USA	2012
SAMN29757077	PASS	Neisseria meningitidis	USA	2016
SAMEA2049417	PASS	Neisseria meningitidis	United Kingdom	2011
SAMEA7838976	PASS	Neisseria meningitidis		
SAMN42000941	PASS	Neisseria meningitidis	Belgium	2019-06-09
SAMEA104105380	PASS	Neisseria meningitidis		
SAMEA114392333	PASS	Neisseria meningitidis	Portugal	2017
SAMEA4948304	PASS	Neisseria meningitidis		
SAMEA4948796	PASS	Neisseria meningitidis		
SAMEA7838432	PASS	Neisseria meningitidis		
SAMEA7838784	PASS	Neisseria meningitidis		
SAMN14469401	PASS	Neisseria meningitidis	USA	2016
SAMEA7838328	PASS	Neisseria meningitidis		
SAMEA7838594	PASS	Neisseria meningitidis		
SAMEA112647495	PASS	Neisseria meningitidis		
SAMEA4948138	PASS	Neisseria meningitidis		
SAMEA4948762	PASS	Neisseria meningitidis		
SAMEA5757467	PASS	Neisseria meningitidis		
SAMEA7838878	PASS	Neisseria meningitidis		
SAMEA8114207	PASS	Neisseria meningitidis		
SAMEA4948317	PASS	Neisseria meningitidis		
SAMN35339268	PASS	Neisseria meningitidis	New Zealand	1992
SAMEA111347794	PASS	Neisseria meningitidis	Norway	2007-02-08
SAMEA2271363	PASS	Neisseria meningitidis		
SAMEA4947945	PASS	Neisseria meningitidis		
SAMEA6227145	PASS	Neisseria meningitidis		
SAMEA7839015	PASS	Neisseria meningitidis		
SAMEA8114174	PASS	Neisseria meningitidis		
SAMEA29834668	PASS	Neisseria meningitidis		
SAMEA7838479	PASS	Neisseria meningitidis		
SAMEA8114329	PASS	Neisseria meningitidis		
SAMN29407203	PASS	Neisseria meningitidis	USA	2005
SAMEA111347923	PASS	Neisseria meningitidis	Norway	2014-01-03
SAMEA2065327	PASS	Neisseria meningitidis		
SAMEA2820761	PASS	Neisseria meningitidis		
SAMEA2820863	PASS	Neisseria meningitidis		
SAMEA3503369	SYLPH_RESULTS_FAIL	unknown		
SAMEA3507118	PASS	Neisseria meningitidis		
SAMEA2299191	PASS	Neisseria meningitidis		
SAMEA2547831	CHECKM2_MAX_CONTAM,MAX_CONTIG_NUM,MIN_N50	Neisseria meningitidis		
SAMEA3503460	SYLPH_RESULTS_FAIL	unknown		
SAMEA4947952	PASS	Neisseria meningitidis		
SAMEA2673977	PASS	Neisseria meningitidis		
SAMEA3503660	SYLPH_RESULTS_FAIL	unknown		
SAMEA4948617	PASS	Neisseria meningitidis		
SAMEA4948810	PASS	Neisseria meningitidis		
SAMEA6227670	PASS	Neisseria meningitidis		
SAMEA7741111	PASS	Neisseria meningitidis		
SAMEA3507294	PASS	Neisseria meningitidis		
SAMEA4948326	PASS	Neisseria meningitidis		
SAMEA6102755	PASS	Neisseria meningitidis		
SAMEA8114290	PASS	Neisseria meningitidis		
SAMN13450806	PASS	Neisseria meningitidis	New Zealand	2014
SAMN43431336	PASS	Neisseria meningitidis	USA: NY, New York City	2023
SAMEA110187297	PASS	Neisseria meningitidis	United Kingdom	2022
SAMEA4948277	PASS	Neisseria meningitidis		
SAMEA5383530	PASS	Neisseria meningitidis	Czech Republic	2001-04
SAMEA1677480	PASS	Neisseria meningitidis		
SAMEA3507149	PASS	Neisseria meningitidis		
SAMEA7838829	PASS	Neisseria meningitidis		
SAMEA7838956	PASS	Neisseria meningitidis		
SAMN13451019	PASS	Neisseria meningitidis	New Zealand	2018
SAMEA4719234	PASS	Neisseria meningitidis		
SAMEA4948123	PASS	Neisseria meningitidis		
SAMEA4948515	PASS	Neisseria meningitidis		
SAMEA4948774	PASS	Neisseria meningitidis		
SAMEA5661090	PASS	Neisseria meningitidis		
SAMEA7838604	PASS	Neisseria meningitidis		
SAMN13450994	PASS	Neisseria meningitidis	New Zealand	2018
SAMN35340350	PASS	Neisseria meningitidis	New Zealand	2022
SAMEA111348013	PASS	Neisseria meningitidis	Norway	2000-06-17
SAMEA4947974	PASS	Neisseria meningitidis		
SAMEA4719420	PASS	Neisseria meningitidis		
SAMEA4948297	PASS	Neisseria meningitidis		
SAMEA8114222	PASS	Neisseria meningitidis		
SAMN13450955	PASS	Neisseria meningitidis	New Zealand	2017
SAMEA2674050	PASS	Neisseria meningitidis	Netherlands	2006/2012
SAMEA3497750	PASS	Neisseria meningitidis		
SAMEA4719284	PASS	Neisseria meningitidis		
SAMEA4948270	PASS	Neisseria meningitidis		
SAMEA6574414	PASS	Neisseria meningitidis		
SAMEA7838673	PASS	Neisseria meningitidis		
SAMEA7838696	PASS	Neisseria meningitidis		
SAMEA7838779	PASS	Neisseria meningitidis		
SAMN32816038	PASS	Neisseria meningitidis	USA	2019
SAMN42000762	PASS	Neisseria meningitidis	Belgium	2017-10-22
SAMEA1706876	PASS	Neisseria meningitidis		
SAMEA4948022	PASS	Neisseria meningitidis		
SAMEA6587225	PASS	Neisseria meningitidis		
SAMN02604197	PASS	Neisseria meningitidis		
SAMN44030912	PASS	Neisseria meningitidis	New Zealand	2000
SAMEA2047523	PASS	Neisseria meningitidis	United Kingdom	2011
SAMEA4948292	PASS	Neisseria meningitidis		
SAMEA4948460	PASS	Neisseria meningitidis		
SAMEA4948592	PASS	Neisseria meningitidis		
SAMEA7838942	PASS	Neisseria meningitidis		
SAMEA1011870	PASS	Neisseria meningitidis		
SAMEA4948609	PASS	Neisseria meningitidis		
SAMEA5757457	PASS	Neisseria meningitidis		
SAMEA7838405	PASS	Neisseria meningitidis		
SAMN13450910	PASS	Neisseria meningitidis	New Zealand	2017
SAMEA1402143	PASS	Neisseria meningitidis		
SAMEA3506957	PASS	Neisseria meningitidis		
SAMEA4948510	PASS	Neisseria meningitidis		
SAMEA4948804	PASS	Neisseria meningitidis		
SAMEA4948827	PASS	Neisseria meningitidis		
SAMEA5749055	PASS	Neisseria meningitidis		
SAMEA7741076	PASS	Neisseria meningitidis		
SAMEA8114249	PASS	Neisseria meningitidis		
SAMEA1522962	PASS	Neisseria meningitidis	United Kingdom	2011
SAMEA1677310	PASS	Neisseria meningitidis		
SAMEA2674341	PASS	Neisseria meningitidis		
SAMEA4948178	PASS	Neisseria meningitidis		
SAMEA7839008	PASS	Neisseria meningitidis		
SAMEA8114144	PASS	Neisseria meningitidis		
SAMN29126933	PASS	Neisseria meningitidis	New Zealand	2021
SAMEA1402096	CHECKM2_MAX_CONTAM	Neisseria meningitidis		
SAMEA2673887	PASS	Neisseria meningitidis		
SAMEA4719331	PASS	Neisseria meningitidis		
SAMEA4948360	PASS	Neisseria meningitidis		
SAMEA7838262	PASS	Neisseria meningitidis		
SAMN09011536	PASS	Neisseria meningitidis	USA	2011
SAMN29757164	PASS	Neisseria meningitidis	USA	2017
SAMEA7838708	PASS	Neisseria meningitidis		
SAMEA8497792	PASS	Neisseria meningitidis		
SAMN17286585	PASS	Neisseria meningitidis	USA: Maryland	2007
SAMEA110070742	PASS	Neisseria meningitidis		
SAMEA3503644	SYLPH_RESULTS_FAIL	unknown		
SAMEA5749008	PASS	Neisseria meningitidis		
SAMN14469488	PASS	Neisseria meningitidis	USA	2016
SAMN44030945	PASS	Neisseria meningitidis	New Zealand	2004
SAMEA104105296	PASS	Neisseria meningitidis		
SAMEA111509538	PASS	Neisseria meningitidis		
SAMEA112237012	PASS	Neisseria meningitidis	United Kingdom	2022
SAMEA113429920	PASS	Neisseria meningitidis		
SAMEA2049422	PASS	Neisseria meningitidis	United Kingdom	2011
SAMEA2271453	PASS	Neisseria meningitidis		
SAMEA2629112	PASS	Neisseria meningitidis		
SAMEA2820827	PASS	Neisseria meningitidis		
SAMEA2271640	PASS	Neisseria meningitidis		
SAMEA2820820	PASS	Neisseria meningitidis		
SAMEA3946976	PASS	Neisseria meningitidis		
SAMEA4413120	PASS	Neisseria meningitidis		
SAMEA4719325	PASS	Neisseria meningitidis		
SAMEA4947991	PASS	Neisseria meningitidis		
SAMEA5747870	PASS	Neisseria meningitidis		
SAMEA6538915	PASS	Neisseria meningitidis		
SAMEA1522963	PASS	Neisseria meningitidis	United Kingdom	2011
SAMEA4948397	PASS	Neisseria meningitidis		
SAMEA5661103	PASS	Neisseria meningitidis		
SAMEA5748693	PASS	Neisseria meningitidis		
SAMEA7741064	PASS	Neisseria meningitidis		
SAMEA7838304	PASS	Neisseria meningitidis		
SAMN32815576	PASS	Neisseria meningitidis	USA	2017
SAMEA111347781	PASS	Neisseria meningitidis	Norway	2007-05-06
SAMN14500891	PASS	Neisseria meningitidis	USA	2015
SAMEA110070752	PASS	Neisseria meningitidis		
SAMEA1530208	SYLPH_RESULTS_FAIL	unknown	United Kingdom	2011
SAMEA2674109	PASS	Neisseria meningitidis	Netherlands	2006/2012
SAMEA7741056	PASS	Neisseria meningitidis		
SAMN42000898	PASS	Neisseria meningitidis	Belgium	2019-02-06
SAMEA111347864	PASS	Neisseria meningitidis	Norway	2010-06-14
SAMEA1522940	PASS	Neisseria meningitidis	United Kingdom	2011
SAMEA2820892	PASS	Neisseria meningitidis		
SAMEA3503978	PASS	Neisseria meningitidis		
SAMEA4948048	PASS	Neisseria meningitidis		
SAMEA5661341	PASS	Neisseria meningitidis		
SAMEA5747758	PASS	Neisseria meningitidis		
SAMEA6226996	PASS	Neisseria meningitidis		
SAMEA37776418	PASS	Neisseria meningitidis		
SAMEA4948699	PASS	Neisseria meningitidis		
SAMEA5748011	PASS	Neisseria meningitidis		
SAMEA678024	PASS	Neisseria meningitidis		
SAMEA113429848	PASS	Neisseria meningitidis		
SAMEA2629076	PASS	Neisseria meningitidis		
SAMEA2820819	PASS	Neisseria meningitidis		
SAMEA3947008	PASS	Neisseria meningitidis		
SAMEA4948643	PASS	Neisseria meningitidis		
SAMEA5661023	PASS	Neisseria meningitidis		
SAMEA7838935	PASS	Neisseria meningitidis		
SAMEA7838957	PASS	Neisseria meningitidis		
SAMEA113562962	PASS	Neisseria meningitidis		
SAMEA114392469	PASS	Neisseria meningitidis	Portugal	2020
SAMEA5748049	PASS	Neisseria meningitidis		
SAMN13450933	PASS	Neisseria meningitidis	New Zealand	2017
SAMN17286584	PASS	Neisseria meningitidis	USA: Maryland	2006
SAMN44030891	PASS	Neisseria meningitidis	New Zealand	1994
SAMEA4948037	PASS	Neisseria meningitidis		
SAMEA4948348	PASS	Neisseria meningitidis		
SAMEA5748024	PASS	Neisseria meningitidis		
SAMEA6227713	PASS	Neisseria meningitidis		
SAMEA7838463	PASS	Neisseria meningitidis		
SAMEA8114135	PASS	Neisseria meningitidis		
SAMEA2673933	PASS	Neisseria meningitidis		
SAMEA3497755	PASS	Neisseria meningitidis		
SAMEA7741138	PASS	Neisseria meningitidis		
SAMEA7838631	PASS	Neisseria meningitidis		
SAMN29407001	PASS	Neisseria meningitidis	USA	2001
SAMN29407055	PASS	Neisseria meningitidis	USA	2002
SAMEA2271603	PASS	Neisseria meningitidis		
SAMEA3432362	PASS	Neisseria meningitidis		
SAMEA4063355	PASS	Neisseria meningitidis		
SAMEA7838846	PASS	Neisseria meningitidis		
SAMEA8114090	PASS	Neisseria meningitidis		
SAMEA4948201	PASS	Neisseria meningitidis		
SAMEA4948308	PASS	Neisseria meningitidis		
SAMEA6538732	PASS	Neisseria meningitidis		
SAMEA7838676	PASS	Neisseria meningitidis		
SAMN42001095	PASS	Neisseria meningitidis	Belgium	2022-12-07
SAMEA3689771	PASS	Neisseria meningitidis		
SAMEA7741101	PASS	Neisseria meningitidis		
SAMEA7741142	PASS	Neisseria meningitidis		
SAMEA7741150	PASS	Neisseria meningitidis		
SAMEA7838298	PASS	Neisseria meningitidis		
SAMEA7838642	PASS	Neisseria meningitidis		
SAMN14469855	PASS	Neisseria meningitidis	USA	2015
SAMN14500826	PASS	Neisseria meningitidis	USA	2015
SAMEA111347698	PASS	Neisseria meningitidis	Norway	2003-12-31
SAMEA4948485	PASS	Neisseria meningitidis		
SAMEA6227721	PASS	Neisseria meningitidis		
SAMEA7838468	PASS	Neisseria meningitidis		
SAMN26138088	PASS	Neisseria meningitidis	Taiwan	2006-06-01
SAMN38502754	PASS	Neisseria meningitidis	Australia: Sydney	2021
SAMEA104283979	PASS	Neisseria meningitidis		
SAMEA111379410	PASS	Neisseria meningitidis		
SAMEA5748006	PASS	Neisseria meningitidis		
SAMEA7838466	PASS	Neisseria meningitidis		
SAMEA8114128	PASS	Neisseria meningitidis		
SAMEA8114184	PASS	Neisseria meningitidis		
SAMN47447584	CHECKM2_MAX_CONTAM,SYLPH_RESULTS_FAIL	unknown	Australia	2018
SAMEA2820856	PASS	Neisseria meningitidis		
SAMEA3503109	PASS	Neisseria meningitidis		
SAMEA4948746	PASS	Neisseria meningitidis		
SAMEA13635362	PASS	Neisseria meningitidis		
SAMEA2673846	PASS	Neisseria meningitidis		
SAMEA2674268	PASS	Neisseria meningitidis	Netherlands	2006/2012
SAMEA3502996	SYLPH_RESULTS_FAIL	unknown		
SAMEA4948806	PASS	Neisseria meningitidis		
SAMEA7838311	PASS	Neisseria meningitidis		
SAMN32815981	PASS	Neisseria meningitidis	USA	2019
SAMN37720390	PASS	Neisseria meningitidis	China: Jiangsu	1978
SAMEA3879329	PASS	Neisseria meningitidis		
SAMEA4361335	PASS	Neisseria meningitidis		
SAMEA5757475	PASS	Neisseria meningitidis		
SAMEA2271671	PASS	Neisseria meningitidis		
SAMEA2820760	PASS	Neisseria meningitidis		
SAMEA5403285	PASS	Neisseria meningitidis	Czech Republic	2017-02
SAMEA7838507	PASS	Neisseria meningitidis		
SAMEA8395685	PASS	Neisseria meningitidis	Norway	2021
SAMN09011551	PASS	Neisseria meningitidis	USA	2011
SAMN14500796	PASS	Neisseria meningitidis	USA	2015
SAMEA112237032	PASS	Neisseria meningitidis	United Kingdom	2022
SAMEA115029749	PASS	Neisseria meningitidis	Ireland	2023
SAMEA7838327	PASS	Neisseria meningitidis		
SAMEA2674189	PASS	Neisseria meningitidis	Netherlands	2006/2012
SAMEA7838340	PASS	Neisseria meningitidis		
SAMEA4504369	PASS	Neisseria meningitidis		
SAMEA4948747	PASS	Neisseria meningitidis		
SAMEA4948831	PASS	Neisseria meningitidis		
SAMEA3503635	SYLPH_RESULTS_FAIL	unknown		
SAMEA7838595	PASS	Neisseria meningitidis		
SAMEA7838816	PASS	Neisseria meningitidis		
SAMEA8114364	PASS	Neisseria meningitidis		
SAMN14469792	PASS	Neisseria meningitidis	USA	2015
SAMEA2673866	PASS	Neisseria meningitidis	Netherlands	2006/2012
SAMEA3432168	PASS	Neisseria meningitidis		
SAMEA3673213	PASS	Neisseria meningitidis		
SAMEA4504490	PASS	Neisseria meningitidis		
SAMEA4948338	PASS	Neisseria meningitidis		
SAMEA4948819	PASS	Neisseria meningitidis		
SAMEA7740984	PASS	Neisseria meningitidis		
SAMEA7838395	PASS	Neisseria meningitidis		
SAMEA2049539	PASS	Neisseria meningitidis	United Kingdom	2011
SAMEA7838497	PASS	Neisseria meningitidis		
SAMEA7838596	PASS	Neisseria meningitidis		
SAMEA7838799	PASS	Neisseria meningitidis		
SAMEA4719485	PASS	Neisseria meningitidis		
SAMEA8497868	PASS	Neisseria meningitidis		
SAMN42000999	PASS	Neisseria meningitidis	Belgium	2020-02-10
SAMN44030936	PASS	Neisseria meningitidis	New Zealand	2002
SAMEA1522905	PASS	Neisseria meningitidis	United Kingdom	2010
SAMEA2271621	PASS	Neisseria meningitidis		
SAMEA4948231	PASS	Neisseria meningitidis		
SAMEA4948275	PASS	Neisseria meningitidis		
SAMN40453227	PASS	Neisseria meningitidis	USA: Florida	2023-05-19
SAMEA2673773	PASS	Neisseria meningitidis		
SAMEA2674060	PASS	Neisseria meningitidis	Netherlands	2006/2012
SAMEA2820792	PASS	Neisseria meningitidis		
SAMEA3109229	PASS	Neisseria meningitidis		
SAMEA7838413	PASS	Neisseria meningitidis		
SAMEA8114229	PASS	Neisseria meningitidis		
SAMN13451006	PASS	Neisseria meningitidis	New Zealand	2018
SAMN29757014	PASS	Neisseria meningitidis	USA	2015
SAMEA4948321	PASS	Neisseria meningitidis		
SAMEA4948448	PASS	Neisseria meningitidis		
SAMEA4948799	PASS	Neisseria meningitidis		
SAMEA37480918	PASS	Neisseria meningitidis		
SAMEA5749040	PASS	Neisseria meningitidis		
SAMEA7741092	PASS	Neisseria meningitidis		
SAMN13450888	PASS	Neisseria meningitidis	New Zealand	2016
SAMEA7838612	PASS	Neisseria meningitidis		
SAMN03963276	PASS	Neisseria meningitidis	Germany	2002
SAMN14469668	PASS	Neisseria meningitidis	USA	2015
SAMN42000724	PASS	Neisseria meningitidis	Belgium	2017-04-17
